AcornPowder,1,2,5,5,40
AgaveLeaves,2,1,1,4,200
AgoutiEnchiladas,20,27,8,3,800
AmanitaMushrooms,0,0,0,0,0
AutumnStew,13,5,8,12,1200
BakedAgave,14,4,2,8,700
BakedBeet,10,2,1,15,700
BakedCorn,12,2,3,11,700
BakedHeartOfPalm,12,4,6,6,700
BakedMeat,0,13,17,0,700
BakedRoast,4,10,16,4,1000
BakedTaro,8,2,6,12,700
BakedTomato,16,5,1,6,700
BanhXeo,26,10,17,4,1550
Bannock,15,6,3,0,700
BasicSalad,18,4,6,10,800
BeanPaste,3,7,5,0,40
BeanSprout,2,0,1,5,100
Bearclaw,14,21,4,7,850
BearSUPREME,6,23,22,9,1250
Beet,2,2,0,4,230
BeetCampfireSalad,8,3,4,13,900
BeetGreens,3,0,1,4,100
BisonChowFun,16,20,13,8,1450
BoiledGrains,9,0,2,1,350
BoiledRice,13,0,2,0,210
BoiledSausage,0,22,27,0,600
BoleteMushrooms,2,1,4,1,200
Bread,23,4,6,2,750
CamasBread,13,11,5,7,800
CamasBulbBake,12,5,7,4,700
CamasPaste,3,10,2,0,60
CampfireRoast,0,12,16,0,1000
CampfireSalad,0,0,0,0,0
CampfireStew,5,9,10,4,1200
CerealGerm,5,7,0,3,20
CharredAgave,5,3,1,3,350
CharredBeans,1,3,8,0,350
CharredBeet,3,3,0,6,350
CharredCactusFruit,4,2,0,6,200
CharredCamasBulb,2,6,3,1,350
CharredCorn,7,0,1,4,350
CharredFireweedShoots,5,0,1,6,350
CharredFish,0,4,11,0,400
CharredHeartOfPalm,6,1,3,2,210
CharredMeat,0,10,5,0,400
CharredMushrooms,3,2,6,1,350
CharredPapaya,3,0,1,8,350
CharredPineapple,8,0,1,3,350
CharredSausage,0,14,10,0,700
CharredTaro,10,0,1,1,350
CharredTomato,7,0,1,4,350
ClamChowder,16,3,15,11,800
CookeinaMushrooms,2,1,4,1,200
Corn,4,0,1,3,230
CornFritters,13,22,4,8,500
Cornmeal,9,3,3,0,60
CornStarch,0,0,0,0,10
CreosoteFlower,0,0,0,0,0
CriminiMushrooms,2,1,4,1,200
CrimsonSalad,13,8,7,28,1200
CrispyBacon,0,26,18,0,800
DriedFish,1,2,16,0,450
DriedMeat,1,4,14,0,550
Ecoylent,500,500,500,500,1500
ElkTaco,15,22,8,6,700
ElkWellington,10,22,26,4,1450
FantasticForestPizza,23,10,4,17,1250
FernCampfireSalad,9,1,5,13,900
Fiddleheads,2,0,1,5,150
FieldCampfireStew,14,8,4,4,1100
FireweedShoots,3,0,1,4,150
FishNChips,20,20,10,0,1000
Flatbread,17,3,8,2,500
FlaxFlower,0,0,0,0,0
FlaxseedOil,0,15,0,0,120
Flour,15,0,0,0,50
FriedCamas,9,10,3,2,700
FriedFiddleheads,11,6,3,4,700
FriedHareHaunches,6,27,15,4,750
FriedHeartsOfPalm,13,6,3,2,700
FriedTaro,14,8,1,1,700
FriedTomatoes,11,8,3,2,700
FriedVegetables,11,8,3,2,560
FruitMuffin,10,4,5,16,800
FruitSalad,12,3,4,19,900
FruitTart,22,9,3,14,800
GiantCactusFruit,2,2,0,4,100
HeartOfPalm,4,0,2,2,100
HeartyHometownPizza,28,11,7,3,1200
Hosomaki,21,5,19,8,700
Huckleberries,2,0,0,6,150
HuckleberryExtract,0,0,0,15,60
HuckleberryFritter,16,20,0,8,900
HuckleberryPie,13,10,5,16,1300
Hydrocolloids,0,0,0,0,10
InfusedOil,0,12,0,3,120
JungleCampfireSalad,11,3,4,10,900
JungleCampfireStew,8,11,8,3,1100
KelpyCrabRoll,22,11,13,5,1350
LeavenedDough,6,13,18,5,10
LiquidNitrogen,0,0,0,0,10
LoadedTaroFries,14,18,6,0,1200
Macarons,20,14,7,16,1000
Maltodextrin,0,0,0,0,10
MeatPie,18,20,4,2,1300
MeatStock,3,9,8,0,600
MeatyStew,6,10,13,1,1100
Milk,3,7,10,0,120
MillionairesSalad,18,6,6,26,1000
Mochi,25,0,0,5,750
Oil,0,15,0,0,120
Orchid,0,0,0,0,0
Papaya,2,0,1,5,200
PastryDough,4,0,0,4,10
PhadThai,9,19,11,5,1200
Pineapple,6,0,0,2,200
PineappleFriendRice,20,12,9,12,720
Pirozhok,14,10,19,4,850
PokeBowl,21,11,10,7,1100
PreparedMeat,0,6,4,0,600
PricklyPearFruit,2,1,1,4,190
PrimeCut,0,4,9,0,600
Pumpkin,5,0,1,2,340
Pupusas,6,9,11,14,900
RawBacon,0,9,3,0,200
RawFish,0,3,7,0,200
RawMeat,0,8,4,0,250
RawRoast,0,5,6,0,600
RawSausage,0,8,4,0,500
RiceFlour,15,0,0,0,50
RiceNoodles,10,0,0,0,200
RoastPumpkin,23,2,2,7,1400
RootCampfireSalad,8,4,5,11,950
RootCampfireStew,8,12,5,5,1100
ScrapMeat,0,5,5,0,50
SearedMeat,4,17,19,7,600
SeededCamasRoll,20,13,2,16,1400
SensuousSeaPizza,28,7,11,4,1200
SharkFilletSoup,10,11,15,4,1400
SimmeredMeat,6,13,18,5,900
SimpleSyrup,12,3,0,0,400
SmoothGutNoodleRoll,19,9,15,1,1200
SpikyRoll,20,7,17,2,1300
StuffedTurkey,17,16,24,7,1600
Sugar,15,0,0,0,50
SunButter,0,0,0,0,0
SunCheese,2,12,4,0,250
Sunflower,2,4,2,0,50
SweetDeerJerky,4,6,22,3,600
SweetSalad,18,7,9,22,1200
Tallow,0,8,0,0,200
